phase_margin,attack,drift,eta_c_psecure50,max_abs_dp_deta,eta_at_max_abs_dp_deta
0.01,0.05,0.005,0.08759615384615384,106.39999999999989,0.0875
0.01,0.1,0.005,0.0844642857142857,111.99999999999991,0.08499999999999999
0.01,0.15,0.005,0.08226666666666665,123.20000000000023,0.08249999999999999
0.01,0.2,0.005,0.07910919540229885,120.00000000000011,0.08
0.01,0.25,0.005,0.0766,111.99999999999989,0.0775
0.01,0.3,0.005,0.0739,107.1999999999999,0.0725
0.01,0.35,0.005,0.07094696969696969,102.3999999999999,0.0725
0.01,0.4,0.005,0.06763392857142858,108.8000000000001,0.0675
0.01,0.05,0.01,0.0817391304347826,104.00000000000023,0.08249999999999999
0.01,0.1,0.01,0.07915625,116.80000000000015,0.08
0.01,0.15,0.01,0.0763671875,104.79999999999993,0.0775
0.01,0.2,0.01,0.07356741573033708,115.19999999999992,0.0725
0.01,0.25,0.01,0.0711231884057971,104.79999999999991,0.0725
0.01,0.3,0.01,0.06806962025316456,122.40000000000026,0.0675
0.01,0.35,0.01,0.06503289473684211,131.9999999999999,0.065
0.01,0.4,0.01,0.06239130434782609,120.80000000000003,0.0625
0.01,0.05,0.02,0.07076923076923076,115.20000000000016,0.06999999999999999
0.01,0.1,0.02,0.0680921052631579,117.60000000000024,0.0675
0.01,0.15,0.02,0.06531250000000001,117.59999999999991,0.065
0.01,0.2,0.02,0.06230769230769231,119.20000000000002,0.0625
0.01,0.25,0.02,0.05978915662650603,125.60000000000004,0.060000000000000005
0.01,0.3,0.02,0.05716666666666667,113.59999999999991,0.0575
0.01,0.35,0.02,0.054375,121.60000000000005,0.055
0.01,0.4,0.02,0.0512890625,102.39999999999992,0.05
0.01,0.05,0.03,0.059513888888888894,117.60000000000005,0.060000000000000005
0.01,0.1,0.03,0.05697916666666667,115.1999999999999,0.0575
0.01,0.15,0.03,0.05417553191489362,126.40000000000012,0.055
0.01,0.2,0.03,0.05123626373626374,111.9999999999999,0.05
0.01,0.25,0.03,0.04876865671641791,107.9999999999999,0.05
0.01,0.3,0.03,0.04583333333333334,110.40000000000012,0.045000000000000005
0.01,0.35,0.03,0.043084415584415586,106.39999999999992,0.0425
0.01,0.4,0.03,0.04024647887323944,107.99999999999991,0.04
0.02,0.05,0.005,0.08723684210526315,103.9999999999999,0.0875
0.02,0.1,0.005,0.08441176470588234,113.59999999999991,0.08499999999999999
0.02,0.15,0.005,0.08204545454545453,126.40000000000023,0.08249999999999999
0.02,0.2,0.005,0.07892045454545454,117.60000000000005,0.08
0.02,0.25,0.005,0.07635135135135135,110.3999999999999,0.075
0.02,0.3,0.005,0.07358108108108108,112.7999999999999,0.0725
0.02,0.35,0.005,0.07091911764705881,102.40000000000015,0.06999999999999999
0.02,0.4,0.005,0.06738095238095239,109.60000000000005,0.0675
0.02,0.05,0.01,0.08163043478260869,102.40000000000023,0.08249999999999999
0.02,0.1,0.01,0.07902439024390244,114.40000000000009,0.08
0.02,0.15,0.01,0.07626923076923077,104.79999999999991,0.0775
0.02,0.2,0.01,0.07335227272727272,116.7999999999999,0.0725
0.02,0.25,0.01,0.07090909090909091,102.40000000000016,0.06999999999999999
0.02,0.3,0.01,0.06786666666666667,123.20000000000023,0.0675
0.02,0.35,0.01,0.06476063829787235,132.7999999999999,0.065
0.02,0.4,0.01,0.06221014492753623,120.00000000000006,0.0625
0.02,0.05,0.02,0.07047297297297296,114.40000000000023,0.06999999999999999
0.02,0.1,0.02,0.06786666666666667,116.00000000000024,0.0675
0.02,0.15,0.02,0.06520114942528736,118.39999999999989,0.065
0.02,0.2,0.02,0.06199275362318841,117.60000000000002,0.0625
0.02,0.25,0.02,0.05960000000000001,121.60000000000008,0.060000000000000005
0.02,0.3,0.02,0.05682692307692308,114.3999999999999,0.0575
0.02,0.35,0.02,0.05421875,120.80000000000005,0.055
0.02,0.4,0.02,0.05103174603174603,102.3999999999999,0.05
0.02,0.05,0.03,0.05935810810810811,115.20000000000005,0.060000000000000005
0.02,0.1,0.03,0.05660958904109589,109.59999999999991,0.0575
0.02,0.15,0.03,0.05405263157894737,125.60000000000012,0.055
0.02,0.2,0.03,0.051105263157894744,116.79999999999993,0.05
0.02,0.25,0.03,0.04851973684210526,105.59999999999991,0.05
0.02,0.3,0.03,0.04567073170731708,112.00000000000011,0.045000000000000005
0.02,0.35,0.03,0.04290625000000001,110.3999999999999,0.0425
0.02,0.4,0.03,0.040136986301369866,108.79999999999993,0.04
0.03,0.05,0.005,0.08702586206896551,103.99999999999991,0.0875
0.03,0.1,0.005,0.08412650602409638,110.39999999999989,0.08499999999999999
0.03,0.15,0.005,0.08192857142857142,122.40000000000018,0.08249999999999999
0.03,0.2,0.005,0.07880434782608696,116.80000000000001,0.08
0.03,0.25,0.005,0.07613013698630137,110.39999999999992,0.075
0.03,0.3,0.005,0.07349315068493151,111.19999999999992,0.0725
0.03,0.35,0.005,0.07069230769230768,104.0000000000002,0.06999999999999999
0.03,0.4,0.005,0.06734756097560976,109.60000000000011,0.0675
0.03,0.05,0.01,0.08141891891891892,105.60000000000026,0.08
0.03,0.1,0.01,0.07891176470588235,114.40000000000008,0.08
0.03,0.15,0.01,0.07604477611940298,109.59999999999992,0.075
0.03,0.2,0.01,0.0732471264367816,118.39999999999989,0.0725
0.03,0.25,0.01,0.07076086956521739,106.40000000000018,0.06999999999999999
0.03,0.3,0.01,0.06779605263157895,124.80000000000021,0.0675
0.03,0.35,0.01,0.06471052631578948,132.79999999999987,0.065
0.03,0.4,0.01,0.06211267605633803,119.20000000000005,0.0625
0.03,0.05,0.02,0.07035211267605633,112.80000000000021,0.06999999999999999
0.03,0.1,0.02,0.06775974025974027,116.80000000000028,0.0675
0.03,0.15,0.02,0.06508620689655173,118.39999999999989,0.065
0.03,0.2,0.02,0.06186567164179105,114.40000000000003,0.0625
0.03,0.25,0.02,0.05953947368421053,123.20000000000005,0.060000000000000005
0.03,0.3,0.02,0.05657051282051282,111.1999999999999,0.0575
0.03,0.35,0.02,0.054043209876543215,120.80000000000007,0.055
0.03,0.4,0.02,0.050793650793650794,103.9999999999999,0.05
0.03,0.05,0.03,0.059123376623376626,113.6,0.060000000000000005
0.03,0.1,0.03,0.05649305555555556,107.99999999999991,0.0575
0.03,0.15,0.03,0.053994845360824745,127.20000000000016,0.055
0.03,0.2,0.03,0.05106382978723405,116.7999999999999,0.05
0.03,0.25,0.03,0.0483974358974359,107.19999999999999,0.0475
0.03,0.3,0.03,0.045625000000000006,112.00000000000014,0.045000000000000005
0.03,0.35,0.03,0.04283950617283951,112.7999999999999,0.0425
0.03,0.4,0.03,0.04003246753246753,111.1999999999999,0.04
0.05,0.05,0.005,0.0868103448275862,105.59999999999991,0.0875
0.05,0.1,0.005,0.08376470588235294,110.40000000000008,0.08249999999999999
0.05,0.15,0.005,0.08152597402597402,119.20000000000023,0.08249999999999999
0.05,0.2,0.005,0.07851648351648352,112.0,0.08
0.05,0.25,0.005,0.07584558823529411,109.59999999999991,0.075
0.05,0.3,0.005,0.07297101449275362,111.99999999999989,0.0725
0.05,0.35,0.005,0.07027777777777777,113.60000000000022,0.06999999999999999
0.05,0.4,0.005,0.06705357142857143,112.00000000000006,0.0675
0.05,0.05,0.01,0.08113636363636363,112.00000000000027,0.08
0.05,0.1,0.01,0.07844512195121951,121.5999999999999,0.0775
0.05,0.15,0.01,0.07579710144927536,111.1999999999999,0.075
0.05,0.2,0.01,0.07289634146341463,119.1999999999999,0.0725
0.05,0.25,0.01,0.0703125,107.20000000000023,0.06999999999999999
0.05,0.3,0.01,0.06725609756097561,120.00000000000017,0.0675
0.05,0.35,0.01,0.06448795180722891,123.9999999999999,0.065
0.05,0.4,0.01,0.061785714285714284,120.00000000000006,0.0625
0.05,0.05,0.02,0.06965116279069766,116.80000000000038,0.06999999999999999
0.05,0.1,0.02,0.06746478873239437,120.00000000000027,0.0675
0.05,0.15,0.02,0.06476562500000001,118.39999999999989,0.065
0.05,0.2,0.02,0.061485507246376817,112.00000000000006,0.0625
0.05,0.25,0.02,0.059147058823529414,124.00000000000003,0.060000000000000005
0.05,0.3,0.02,0.05633116883116883,107.99999999999991,0.0575
0.05,0.35,0.02,0.05372093023255814,116.80000000000013,0.055
0.05,0.4,0.02,0.050551470588235295,107.1999999999999,0.05
0.05,0.05,0.03,0.058750000000000004,109.59999999999991,0.0575
0.05,0.1,0.03,0.056119402985074625,108.80000000000007,0.055
0.05,0.15,0.03,0.053762886597938146,123.20000000000013,0.055
0.05,0.2,0.03,0.050859375000000005,117.59999999999988,0.05
0.05,0.25,0.03,0.047824675324675325,115.20000000000005,0.0475
0.05,0.3,0.03,0.045160256410256415,116.00000000000009,0.045000000000000005
0.05,0.35,0.03,0.0421969696969697,113.59999999999988,0.0425
0.05,0.4,0.03,0.039558823529411764,110.39999999999989,0.04
